Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-kl.dk.fhir.ltt.json	9362	-	0	0	0	0	0	0	12	140	0	0	0	0	0	0	0	1	0	0	120	298	0	0	0	4	0	0
fsh-generated/resources/Bundle-DeliveryReport-Josefine-1.json	3462	12	35	0	0	0	0	0	1	2580	0	0	0	0	0	0	0	0	0	0	46	69	0	0	0	0	0	0
fsh-generated/resources/Bundle-DeliveryReport-Josefine-2.json	3794	10	5	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0	41	90	0	0	0	0	0	0
fsh-generated/resources/Bundle-DeliveryReport-Josefine-3.json	3793	10	5	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	47	83	0	0	0	0	0	0
fsh-generated/resources/Bundle-DeliveryReport-Josefine-4.json	6147	9	6	0	1	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	61	109	0	0	0	0	0	0
fsh-generated/resources/Bundle-DeliveryReport-Josefine-5-6-7.json	4987	10	4	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	52	80	0	0	0	0	0	0
fsh-generated/resources/Bundle-DeliveryReport-Josefine-8.json	4122	12	5	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	43	67	0	0	0	0	0	1
fsh-generated/resources/Bundle-DeliveryReport-Josefine-9.json	4189	10	7	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	47	61	0	0	0	0	0	0
fsh-generated/resources/Bundle-RapportOmJosefine.json	5813	11	5	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	49	75	0	0	0	0	0	0
fsh-generated/resources/CarePlan-Forloeb.json	1296	9	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	30	47	0	0	0	0	0	0
fsh-generated/resources/CarePlan-Henvisning.json	755	9	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	28	46	0	0	0	0	0	0
fsh-generated/resources/Encounter-Behandlingskontakt.json	1589	9	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	29	41	0	0	0	0	0	0
fsh-generated/resources/Patient-Josefine.json	470	9	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	25	29	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-klgateway-ltt-care-plan.json	9574	15	0	174	0	0	1	0	1	79	0	0	0	0	0	0	0	2	0	0	568	1460	1	0	0	13	1	1
fsh-generated/resources/StructureDefinition-klgateway-ltt-citizen.json	4009	11	0	201	1	0	0	0	0	45	0	0	1	0	0	0	0	2	0	0	444	859	0	0	0	13	0	1
fsh-generated/resources/StructureDefinition-klgateway-ltt-delivery-report.json	3637	13	0	316	0	0	0	0	0	103	0	0	0	0	0	0	0	1	0	0	399	1085	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-klgateway-ltt-encounter-based-on-care-plan.json	1693	12	0	25	1	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	80	327	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-klgateway-ltt-encounter-delivery-type.json	1425	10	0	25	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	66	317	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-klgateway-ltt-encounter.json	7887	34	0	54	0	0	0	0	0	66	0	0	0	0	0	0	0	2	0	0	544	874	0	0	0	15	0	1
fsh-generated/resources/StructureDefinition-klgateway-ltt-referral.json	8168	11	0	50	1	0	0	0	0	55	0	0	0	0	0	0	0	1	0	0	458	985	0	0	0	16	1	0
fsh-generated/resources/ValueSet-fkgateway-ltt-care-plan-activity-types.json	694	10	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	27	816	0	0	0	2	0	0
fsh-generated/resources/ValueSet-fkgateway-ltt-encounter-class-codes.json	1044	10	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	28	164	0	0	0	0	0	0
fsh-generated/resources/ValueSet-fkgateway-ltt-encounter-types.json	1208	10	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	32	134	0	0	0	1	0	0
fsh-generated/resources/ValueSet-fkgateway-ltt-focus-area.json	645	10	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	25	134	0	0	0	0	0	0
fsh-generated/resources/ValueSet-fkgateway-ltt-type-of-delivery.json	736	8	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	27	121	0	0	0	1	0	0
fsh-generated/resources/ValueSet-fkgateway-ltt-type-of-participants.json	644	12	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	26	108	0	0	0	1	0	0
fsh-generated/resources/ValueSet-fkgateway-ltt-type-of-referral.json	638	10	0	0	1	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	26	134	0	0	0	0	0	1
