Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-kl.dk.fhir.ltt.json	9743	-	0	0	0	0	0	0	7	20	0	0	0	0	0	0	0	0	0	0	161	278	0	0	0	8	0	0
fsh-generated/resources/Bundle-DeliveryReport-Josefine-1.json	3428	14	3	0	1	0	0	0	0	4381	0	0	0	0	0	0	0	0	0	0	80	112	0	0	1	0	0	0
fsh-generated/resources/Bundle-DeliveryReport-Josefine-2.json	3794	12	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	84	136	0	0	0	0	0	0
fsh-generated/resources/Bundle-DeliveryReport-Josefine-3.json	3793	15	4	0	0	0	0	0	1	16	0	0	0	0	0	0	0	0	0	0	64	99	0	0	0	0	0	0
fsh-generated/resources/Bundle-DeliveryReport-Josefine-4.json	6147	12	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	97	115	0	0	0	0	0	0
fsh-generated/resources/Bundle-DeliveryReport-Josefine-5-6-7.json	4987	7	0	0	0	0	0	0	1	17	0	0	0	0	0	0	0	0	0	0	77	81	0	0	0	0	0	0
fsh-generated/resources/Bundle-DeliveryReport-Josefine-8.json	4122	0	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	87	83	0	0	0	0	0	0
fsh-generated/resources/Bundle-DeliveryReport-Josefine-9.json	4155	15	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	79	86	0	0	0	0	0	0
fsh-generated/resources/Bundle-RapportOmJosefine.json	5813	0	0	0	4	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	108	99	0	0	0	0	0	0
fsh-generated/resources/Bundle-TestIncrementalDelivery.json	7417	0	16	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	69	112	0	0	0	0	0	0
fsh-generated/resources/CarePlan-Forloeb.json	1296	17	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	75	0	0	0	0	0	0
fsh-generated/resources/CarePlan-Henvisning.json	755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	78	0	0	0	0	0	0
fsh-generated/resources/Encounter-Behandlingskontakt.json	1589	0	0	0	1	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	60	71	0	0	0	0	0	0
fsh-generated/resources/Patient-Josefine.json	470	16	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	50	60	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-klgateway-ltt-care-plan.json	9574	0	0	230	0	0	0	0	1	83	0	0	7	0	0	0	0	1	0	0	1290	3432	0	0	0	43	0	1
fsh-generated/resources/StructureDefinition-klgateway-ltt-citizen.json	4009	17	0	178	0	0	0	0	0	83	0	0	1	0	0	0	0	1	0	0	963	1284	0	0	0	26	0	1
fsh-generated/resources/StructureDefinition-klgateway-ltt-delivery-report.json	3637	1	0	346	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	835	1623	0	0	0	24	1	1
